Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.76699719298423E-06,-8.15420636124387E-07,0.0222432282390383,0,0,0,1.09744945381441,0.00331553425808279,1.93854687584053E-08,-1.19479574085107E-08,0.00333524921444572,-1.80532397907084E-07,0.00642546170495103,0,0,0,0,0,0,package://kaka_arm_v7/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/base_link.STL,,L0_ONMATERIAL-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,0.012598883501542,0.00138888617236277,0.0384773775340916,0,0,0,0.20508357522801,0.000124082205579915,1.28153673427719E-06,-7.31384516622263E-06,0.000116611062869396,2.79108786829792E-06,0.00012912021849992,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L1.STL,,L1_ONMATERIAL-1,坐标系1,基准轴1,J1,revolute,0,0,0.0775,0,0,0,base_link,0,0,1,40,5.85,-2.61,2.61,,,,,,,,
L2,-0.142894449304073,-0.0114382931533865,-0.0236961184526756,0,0,0,0.715798409110679,0.000432500202300148,-5.60650849217114E-06,3.38804381249468E-07,0.00101997309313538,5.07496344755812E-07,0.000890310646773173,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L2.STL,,L2_ONMATERIAL-1,坐标系2,基准轴2,J2,revolute,0.021866,0.024758,0.04945,-1.5708,0,0,L1,0,0,1,40,5.86,0,3.14,,,,,,,,
L3,0.103963455009787,-2.14317425368815E-05,-0.0288561265810146,0,0,0,0.274568623804452,0.000156756572542988,-5.50117408873804E-09,-9.09693601890909E-08,0.000232744684080357,-4.80652220809517E-08,0.000191032724357723,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L3.STL,,L3_ONMATERIAL-1,坐标系3,基准轴3,J3,revolute,-0.24404,-0.057,0.0045917,0,0,-0.011489,L2,0,0,1,40,5.86,-3.14,0,,,,,,,,
L4,-0.000430009761231087,-0.00043899059141661,0.0385815596817507,0,0,0,0.146858220037625,7.24596290395157E-05,-1.85744385985177E-07,-7.97071499784898E-07,7.42573764614976E-05,-2.25290532122518E-06,6.07222589331949E-05,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L4.STL,,L4_ONMATERIAL-1,坐标系4,基准轴4,J4,revolute,0.19259,0,-0.029132,-1.5708,0,-1.5708,L3,0,0,1,7,20.9,-1.57,1.57,,,,,,,,
L5,-0.000442805058557427,0.0544653769580929,-0.0216286934154191,0,0,0,0.171600475472766,8.7033255679848E-05,-4.60759982698815E-07,1.42882802464801E-08,9.86877716848725E-05,1.89921041075456E-07,6.21904291272827E-05,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L5.STL,,L5_ONMATERIAL-1,坐标系5,基准轴5,J5,revolute,0.00025154,-0.022245,0.046509,1.5708,-0.0045376,0,L4,0,0,1,7,20.9,-1.22,1.22,,,,,,,,
L6,-0.00731756167991882,-1.97541243023291E-05,0.0397223771901161,0,0,0,0.256183365613942,0.000185930422117077,1.23788465411674E-08,8.02482089440516E-06,0.000116416838015457,2.23795484435717E-08,0.000130210653536729,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L6.STL,,L6-1,坐标系6,基准轴6,J6,revolute,0,0.0925,-0.022495,-1.5708,0,0,L5,0,0,1,7,20.9,-1.57,1.57,,,,,,,,
L7,-4.45286840733417E-09,-7.72959474204526E-12,0.0096392698210076,0,0,0,0.011432384671351,1.42954458904692E-06,-1.15273305460333E-18,4.74739813640469E-13,1.42954530337774E-06,8.93894643686476E-17,2.18792767073057E-06,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L7.STL,0.956862745098039,0.729411764705882,0.725490196078431,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/L7.STL,,2664N393_Metal Gear - 20 Degree Pressure Angle-1,坐标系7,基准轴7,J7,revolute,-0.012,0,0.043718,1.5708,-1.5708,1.5708,L6,0,0,1,7,20.9,-0.39,0,,,,,,,,
GL,-0.00120742846754696,0.0303921637896519,-0.0019963683441141,0,0,0,0.0133891690470259,8.38430257957753E-06,9.57111543683032E-07,3.87011710941058E-10,9.03876633701886E-07,-7.30677044323104E-10,8.79344024430823E-06,0,0,0,0,0,0,package://kaka_arm_v7/meshes/GL.STL,0.956862745098039,0.729411764705882,0.725490196078431,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/GL.STL,,GEAR_GRIPPER_L_1FINGER2_SENSOR-1,坐标系8,基准轴8,J8,revolute,-0.002,-0.016,0.074772,1.5708,0,-1.5708,L6,0,0,1,5.9,24.82,-0.47,0,,,,,,,,
GR,-0.00219110330295491,0.0325415596938933,0.00199998042210914,0,0,0,0.0144889719357076,9.30627185757113E-06,1.29819981936111E-06,1.67437776277221E-12,1.02896253392999E-06,-5.85891155090587E-12,9.86550715118496E-06,0,0,0,0,0,0,package://kaka_arm_v7/meshes/GR.STL,0.956862745098039,0.729411764705882,0.725490196078431,1,0,0,0,0,0,0,package://kaka_arm_v7/meshes/GR.STL,,GEAR_GRIPPER_R-1,坐标系9,基准轴9,J9,revolute,-0.002,0.016,0.074772,1.5708,0,1.5708,L6,0,0,1,5.9,24.82,-0.47,0,,,,,,,,
